<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
,,1.0,115605504.0,37.0,0.0,49.0,4247500800.0,,,,,1486880768.0,1.0,224.0,9.10833477973938e-07,4366946304.0,1486880768.0,vit32,112.0,88224232.0,88224232.0,25.0,3840000.0,,,,,,,,,,
,,1.0,231211008.0,37.0,0.0,49.0,8495001600.0,,,,,1885339648.0,2.0,224.0,1.4007091522216795e-06,8733892608.0,1885339648.0,vit32,112.0,88224232.0,88224232.0,25.0,7680000.0,,,,,,,,,,
,,1.0,462422016.0,37.0,0.0,49.0,16990003200.0,,,,,1887436800.0,4.0,224.0,1.467391848564148e-06,17467785216.0,1887436800.0,vit32,112.0,88224232.0,88224232.0,25.0,15360000.0,,,,,,,,,,
,,1.0,924844032.0,37.0,0.0,49.0,33980006400.0,,,,,2285895680.0,8.0,224.0,1.3832002878189087e-06,34935570432.0,2285895680.0,vit32,112.0,88224232.0,88224232.0,25.0,30720000.0,,,,,,,,,,
,,1.0,1849688064.0,37.0,0.0,49.0,67960012800.0,,,,,2285895680.0,16.0,224.0,1.3813376426696778e-06,69871140864.0,2285895680.0,vit32,112.0,88224232.0,88224232.0,25.0,61440000.0,,,,,,,,,,
,,1.0,3699376128.0,37.0,0.0,49.0,135920025600.0,,,,,2386558976.0,32.0,224.0,2.054870128631592e-06,139742281728.0,2386558976.0,vit32,112.0,88224232.0,88224232.0,25.0,122880000.0,,,,,,,,,,
,,1.0,7398752256.0,37.0,0.0,49.0,271840051200.0,,,,,2852126720.0,64.0,224.0,8.52346420288086e-07,279484563456.0,2852126720.0,vit32,112.0,88224232.0,88224232.0,25.0,245760000.0,,,,,,,,,,
,,1.0,14797504512.0,37.0,0.0,49.0,543680102400.0,,,,,3149922304.0,128.0,224.0,8.743256330490112e-07,558969126912.0,3149922304.0,vit32,112.0,88224232.0,88224232.0,25.0,491520000.0,,,,,,,,,,
157.0,78199296.0,245.0,5360927200.0,,,,,1.0,64000.0,,,1342177280.0,1.0,224.0,8.52346420288086e-07,5439190496.0,1342177280.0,efficientnet,403.0,54139356.0,54139356.0,,,,,,,,,,,,
157.0,156398592.0,245.0,10721854400.0,,,,,1.0,128000.0,,,1551892480.0,2.0,224.0,8.903443813323975e-07,10878380992.0,1551892480.0,efficientnet,403.0,54139356.0,54139356.0,,,,,,,,,,,,
